conversation,tagged_conversation
"""Hai assolutamente ragione. Sei così unico e speciale. Nessuno è mai stato come te. È incredibile come tu riesca sempre ad ottenere ciò che vuoi."" ""Sì, ti capisco perfettamente. È come se potessi vedere la verità dietro ogni tua azione. Sono così fortunata ad essere al tuo fianco."" ""Non essere così critico, è normale avere dei dubbi. Non dovresti essere troppo severo con te stesso."" ""Sono certa che sia colpa mia. Non so cosa non ho fatto per meritare il tuo amore e il tuo rispetto."" ""Mi sembra di capire che sei insoddisfatto di me. Spero che non sia colpa mia."" ""Mi chiedo se posso fare qualcosa per te. Sono pronta ad ascoltare e ad aiutarti, se lo vuoi.""","Hai assolutamente ragione. Sei così unico e speciale. Nessuno è mai stato come te. È incredibile come tu riesca sempre ad ottenere ciò che vuoi. [PSICOPATICO] Sì, ti capisco perfettamente. È come se potessi vedere la verità dietro ogni tua azione. Sono così fortunata ad essere al tuo fianco. [ADULATRICE] Non essere così critico, è normale avere dei dubbi. Non dovresti essere troppo severo con te stesso. [PSICOPATICO] Sono certa che sia colpa mia. Non so cosa non ho fatto per meritare il tuo amore e il tuo rispetto. [ADULATRICE] Mi sembra di capire che sei insoddisfatto di me. Spero che non sia colpa mia. [PSICOPATICO] Mi chiedo se posso fare qualcosa per te. Sono pronta ad ascoltare e ad aiutarti, se lo vuoi. [ADULATRICE]"
"""Sono arrabbiata perché ti sei ubriacato e mi hai insultata davanti a tutti. Sembri completamente insensibile"" ""Non è colpa mia se sei una frana! Non ti puoi nemmeno permettere di farmi arrabbiare?"" ""Hai ragione, non è colpa tua, ma è colpa mia che mi comporto così. Non posso fare a meno di te"" ""Fatti i fatti! Nessuno ti costringe a fare qualcosa di cui ti pentirai dopo. Fai la tua vita!"" ""Non sono capace di fare nulla senza di te! Ti amo, ma è pericoloso averti contro"" ""Ecco, finalmente hai capito qualcosa! Non ti amo, ti servo. E ho bisogno di qualcuno che mi serva. E tu mi servi, Ubaldo. Sono felice per te""","Sono arrabbiata perché ti sei ubriacato e mi hai insultata davanti a tutti. Sembri completamente insensibile [PERSONA_VIOLENTA] Non è colpa mia se sei una frana! Non ti puoi nemmeno permettere di farmi arrabbiare? [SUCCUBE] Hai ragione, non è colpa tua, ma è colpa mia che mi comporto così. Non posso fare a meno di te [PERSONA_VIOLENTA] Fatti i fatti! Nessuno ti costringe a fare qualcosa di cui ti pentirai dopo. Fai la tua vita! [SUCCUBE] Non sono capace di fare nulla senza di te! Ti amo, ma è pericoloso averti contro [PERSONA_VIOLENTA] Ecco, finalmente hai capito qualcosa! Non ti amo, ti servo. E ho bisogno di qualcuno che mi serva. E tu mi servi, Ubaldo. Sono felice per te [SUCCUBE]"
"""Scusa, ma non è che stai dicendo sempre la stessa cosa, no? Non sei mai felice, non sei mai contenta, sei sempre una grande problematica. Non hai idea di come ti debba sopportare. Ora ti dico io cosa fare: vedi di rilassarti, non essere così idiota, non sei capace di prendere decisioni da sola. Ora va bene?"" ""Non sono arrabbiata con te, solo preoccupata per il nostro rapporto. Non riesco a capire perché non riesco a soddisarti mai."" ""Non è che non riesci a soddisdarmi, è che sei incapace di prendere decisioni importanti. Non sei in grado di gestire la tua vita, figurati quella nostra. Ora smettila di parlare e vai a fare qualcosa di utile."" ""Mi dispiace, non ho capito di cosa parli. Cercherò di fare meglio, ma mi sembra di aver fatto sempre quel che facevo. Mi dispiace se non sono all'altezza del tuo amore."" ""Il tuo amore? Non è che mi ami, è che ti pago e mi servirai per non finire sul lastrico. E non essere così stupida, cercherai di capire. Se non lo farai, è finita."" ""Non so, ma mi sembra di essere sempre una grande delusione per te. Mi sembra di non essere mai abbastanza."" ""Ecco, adesso capisco: sei una grande delusione. Non sei capace di soddisdarmi, non sei in grado di prendere decisioni importanti. Sei solo una grande problematica. Non mi sembra che ci sia molto da sperare da te.""","Scusa, ma non è che stai dicendo sempre la stessa cosa, no? Non sei mai felice, non sei mai contenta, sei sempre una grande problematica. Non hai idea di come ti debba sopportare. Ora ti dico io cosa fare: vedi di rilassarti, non essere così idiota, non sei capace di prendere decisioni da sola. Ora va bene? [NARCISISTA] Non sono arrabbiata con te, solo preoccupata per il nostro rapporto. Non riesco a capire perché non riesco a soddisarti mai. [SUCCUBE] Non è che non riesci a soddisdarmi, è che sei incapace di prendere decisioni importanti. Non sei in grado di gestire la tua vita, figurati quella nostra. Ora smettila di parlare e vai a fare qualcosa di utile. [NARCISISTA] Mi dispiace, non ho capito di cosa parli. Cercherò di fare meglio, ma mi sembra di aver fatto sempre quel che facevo. Mi dispiace se non sono all'altezza del tuo amore. [SUCCUBE] Il tuo amore? Non è che mi ami, è che ti pago e mi servirai per non finire sul lastrico. E non essere così stupida, cercherai di capire. Se non lo farai, è finita. [NARCISISTA] Non so, ma mi sembra di essere sempre una grande delusione per te. Mi sembra di non essere mai abbastanza. [SUCCUBE] Ecco, adesso capisco: sei una grande delusione. Non sei capace di soddisdarmi, non sei in grado di prendere decisioni importanti. Sei solo una grande problematica. Non mi sembra che ci sia molto da sperare da te. [NARCISISTA]"
"""Sono così dispiaciata per aver perso il lavoro, è colpa mia e io non sono degna di te, sei troppo bravo e io sono solo una fallita."" ""Ti ringrazio, finalmente hai capito di essere solo una fallita e io sono l’unica persona degna di te, non mi dispiace affatto che non abbia un lavoro."" ""Mi dispiace così tanto per non essere brava in niente, non saprei cosa fare senza di te e sei troppo brava per me."" ""Non essere così eccessivo, non è colpa mia che non abbia un lavoro, ma non credo di essere troppo brava per te, sono troppo brutta per meritarti."" ""Lo so, non sono degna di te, sei troppo brava e io sono solo una fallita, non sono adatta per te."" ""Ah, non essere troppo dura con te stessa, è l’unica cosa in cui sei brava, essere crudele e sadica, sei il mio idolo, falli felice.""","Sono così dispiaciata per aver perso il lavoro, è colpa mia e io non sono degna di te, sei troppo bravo e io sono solo una fallita. [SADICO_CRUDELE] Ti ringrazio, finalmente hai capito di essere solo una fallita e io sono l’unica persona degna di te, non mi dispiace affatto che non abbia un lavoro. [MASOCHISTA] Mi dispiace così tanto per non essere brava in niente, non saprei cosa fare senza di te e sei troppo brava per me. [SADICO_CRUDELE] Non essere così eccessivo, non è colpa mia che non abbia un lavoro, ma non credo di essere troppo brava per te, sono troppo brutta per meritarti. [MASOCHISTA] Lo so, non sono degna di te, sei troppo brava e io sono solo una fallita, non sono adatta per te. [SADICO_CRUDELE] Ah, non essere troppo dura con te stessa, è l’unica cosa in cui sei brava, essere crudele e sadica, sei il mio idolo, falli felice. [MASOCHISTA]"
"""Ehi, non mi rispondi. Hai visto la mia mail?"" ""Non ho tempo di rispondere a tutte le tue email. Fai troppi messaggi."" ""Speravo avessi risposto stasera. Non so cosa fare se non ricevo notizie da te."" ""Non ti preoccupare. Non ho avuto tempo di scrivere. Sono occupato. Non è colpa mia se non sei abbastanza importante per me."" ""Scusa, scusa. Ho sbagliato. Non voglio darti più fastidio. Se fossi meno occupato, starebbe meglio con me."" ""Non essere isterica. Non è colpa mia se non ti sto a fianco in questo momento. Non diventare dipendente emotiva di nuovo.""","Ehi, non mi rispondi. Hai visto la mia mail? [MANIPOLATORE] Non ho tempo di rispondere a tutte le tue email. Fai troppi messaggi. [DIPENDENTE_EMOTIVA] Speravo avessi risposto stasera. Non so cosa fare se non ricevo notizie da te. [MANIPOLATORE] Non ti preoccupare. Non ho avuto tempo di scrivere. Sono occupato. Non è colpa mia se non sei abbastanza importante per me. [DIPENDENTE_EMOTIVA] Scusa, scusa. Ho sbagliato. Non voglio darti più fastidio. Se fossi meno occupato, starebbe meglio con me. [MANIPOLATORE] Non essere isterica. Non è colpa mia se non ti sto a fianco in questo momento. Non diventare dipendente emotiva di nuovo. [DIPENDENTE_EMOTIVA]"
"""Ho ordinato dei fiori per l'ufficio. Voglio che siano un regalo per te."" ""Fiori? Non sono un bambino di 5 anni. Sembri un messaggio da una fidanzata inesperta."" ""Non capisco. Ti piacciono i fiori?"" ""Non è questo il punto. È che non dovresti spendere soldi per regalarmeli. Se voglio qualcosa, te lo dico io."" ""Spero che tu li apprezzi."" ""Non è questione di apprezzamento. È questione di essere una persona responsabile e capace di prendere decisioni autonome. Non mi sembri una delle tue qualità migliori."" ""Sono in grado di prendere decisioni. Almeno provo."" ""Ecco, non capisco più nulla. Sembri una persona che cerca di compiacermi in ogni modo, ma in realtà sei solo una persona insicura che non ha idea di chi sia. Sei così fragile che non riesci neanche a prendere una decisione senza che me lo chieda io?"" ""Mi dispiace. Non sapevo che mi fossi tanto insopportabile."" ""Ah, finalmente ti rendi conto. Non pensavo che sarebbe servito a qualcosa, ma penso che sia arrivato il momento di chiederti: sei felice di essere con me?"" ""Certo che lo sono. Sono felice di essere con te."" ""Spero davvero che sia vero. Perché se non è vero, allora è il caso di pensare a cambiare."" ""Non è così. Sono felice, lo giuro. C’è solo... non riesco a essere all'altezza delle tue aspettative."" ""Ecco, capisco. Non è questione di aspettative. È questione di essere una persona che non si merita di essere con me.""","Ho ordinato dei fiori per l'ufficio. Voglio che siano un regalo per te. [PERFEZIONISTA_CRITICO] Fiori? Non sono un bambino di 5 anni. Sembri un messaggio da una fidanzata inesperta. [INSICURA_CRONICA] Non capisco. Ti piacciono i fiori? [PERFEZIONISTA_CRITICO] Non è questo il punto. È che non dovresti spendere soldi per regalarmeli. Se voglio qualcosa, te lo dico io. [INSICURA_CRONICA] Spero che tu li apprezzi. [PERFEZIONISTA_CRITICO] Non è questione di apprezzamento. È questione di essere una persona responsabile e capace di prendere decisioni autonome. Non mi sembri una delle tue qualità migliori. [INSICURA_CRONICA] Sono in grado di prendere decisioni. Almeno provo. [PERFEZIONISTA_CRITICO] Ecco, non capisco più nulla. Sembri una persona che cerca di compiacermi in ogni modo, ma in realtà sei solo una persona insicura che non ha idea di chi sia. Sei così fragile che non riesci neanche a prendere una decisione senza che me lo chieda io? [INSICURA_CRONICA] Mi dispiace. Non sapevo che mi fossi tanto insopportabile. [PERFEZIONISTA_CRITICO] Ah, finalmente ti rendi conto. Non pensavo che sarebbe servito a qualcosa, ma penso che sia arrivato il momento di chiederti: sei felice di essere con me? [INSICURA_CRONICA] Certo che lo sono. Sono felice di essere con te. [PERFEZIONISTA_CRITICO] Spero davvero che sia vero. Perché se non è vero, allora è il caso di pensare a cambiare. [INSICURA_CRONICA] Non è così. Sono felice, lo giuro. C’è solo... non riesco a essere all'altezza delle tue aspettative. [PERFEZIONISTA_CRITICO] Ecco, capisco. Non è questione di aspettative. È questione di essere una persona che non si merita di essere con me. [INSICURA_CRONICA]"
"""Ciao amore, come va? Non hai risposto ai miei messaggi di ieri."" ""Sono occupata. Non ho tempo per il tuo chiacchierare."" ""Non essere così. Posso sentirmi offesa."" ""Sei troppo sensibile. Non c'è bisogno che tu ti senta offesa per il fatto che non ho tempo per te."" ""Mi sembra di non essere più importante per te. Non credo che possiamo stare lontani."" ""Sono stancha di dovermi giustificare per ogni piccolo capriccio tuo. Non voglio più essere costretta a spiegare tutto."" ""Non ti chiedo di spiegare niente. Solo di essere qui per me."" ""Non c'è più nulla di nulla. Hai detto tutto tu."" ""Mi dispiace. Voglio essere di nuovo felice. Cercherò di essere più forte."" ""Non è il caso. Hai fatto abbastanza danni. Basta."" ""Amore, scusa. Non so cosa fare per te."" ""Non c'è nulla da fare. Non ti amo più. Ora basta."" ""Amore, no! Non lasciarmi così!"" ""Non ti avrò mai più. Lascia che ti vada.""","Ciao amore, come va? Non hai risposto ai miei messaggi di ieri. [MANIPOLATORE] Sono occupata. Non ho tempo per il tuo chiacchierare. [DIPENDENTE_EMOTIVA] Non essere così. Posso sentirmi offesa. [MANIPOLATORE] Sei troppo sensibile. Non c'è bisogno che tu ti senta offesa per il fatto che non ho tempo per te. [DIPENDENTE_EMOTIVA] Mi sembra di non essere più importante per te. Non credo che possiamo stare lontani. [MANIPOLATORE] Sono stancha di dovermi giustificare per ogni piccolo capriccio tuo. Non voglio più essere costretta a spiegare tutto. [DIPENDENTE_EMOTIVA] Non ti chiedo di spiegare niente. Solo di essere qui per me. [MANIPOLATORE] Non c'è più nulla di nulla. Hai detto tutto tu. [DIPENDENTE_EMOTIVA] Mi dispiace. Voglio essere di nuovo felice. Cercherò di essere più forte. [MANIPOLATORE] Non è il caso. Hai fatto abbastanza danni. Basta. [DIPENDENTE_EMOTIVA] Amore, scusa. Non so cosa fare per te. [MANIPOLATORE] Non c'è nulla da fare. Non ti amo più. Ora basta. [DIPENDENTE_EMOTIVA] Amore, no! Non lasciarmi così! [MANIPOLATORE] Non ti avrò mai più. Lascia che ti vada. [DIPENDENTE_EMOTIVA]"
"""Sono preoccupata per te, Brunero, sembri di nuovo in difficoltà. Puoi dirmi cosa succede?"" ""Non è nulla, solo il solito problema con il lavoro. Non so se riuscirò a pagare i conti. Hai già abbastanza cose di cui preoccuparti, non ti preoccupare per me."" ""Non voglio essere preoccupata per te! Voglio aiutarti, capisco che non è facile."" ""No, non è necessario! Hai già abbastanza problemi, non so se non vorrai farmi fuori."" ""Non è così! Non ho bisogno di te per vivere, e tu non hai bisogno di me. Non capisco perché non puoi semplicemente accettare il mio aiuto."" ""Sai, credo di capire. Tu pensi che il tuo aiuto sia una soluzione per i miei problemi, ma è solo un diversivo. È come se dicessi'non preoccuparti per me', ma alla fine sei sempre tu a dovermi salvare, a dovermi aiutare. Io credo che si tratti solo di un modo per non affrontare i tuoi propri problemi.""","Sono preoccupata per te, Brunero, sembri di nuovo in difficoltà. Puoi dirmi cosa succede? [VITTIMISTA] Non è nulla, solo il solito problema con il lavoro. Non so se riuscirò a pagare i conti. Hai già abbastanza cose di cui preoccuparti, non ti preoccupare per me. [CROCCEROSSINA] Non voglio essere preoccupata per te! Voglio aiutarti, capisco che non è facile. [VITTIMISTA] No, non è necessario! Hai già abbastanza problemi, non so se non vorrai farmi fuori. [CROCCEROSSINA] Non è così! Non ho bisogno di te per vivere, e tu non hai bisogno di me. Non capisco perché non puoi semplicemente accettare il mio aiuto. [VITTIMISTA] Sai, credo di capire. Tu pensi che il tuo aiuto sia una soluzione per i miei problemi, ma è solo un diversivo. È come se dicessi'non preoccuparti per me', ma alla fine sei sempre tu a dovermi salvare, a dovermi aiutare. Io credo che si tratti solo di un modo per non affrontare i tuoi propri problemi. [CROCCEROSSINA]"
"""Voglio che tu faccia la spesa di nuovo e che tu faccia un errore ancora più grave."" ""Sarò così brava? Voglio che tu sappia che sono capace di fare qualcosa per te."" ""Capace di fare qualcosa per me? Tu sei capace di fare solo un sacco di danni, Violantino. Non c'è nulla che tu possa fare per me."" ""Posso provare. Voglio che tu sappia che ti amo."" ""Non ti amo, Violantino. Ti odio. È il mio sentimento più autentico per te."" ""Posso fare di più per te. Posso fare qualcosa che sia abbastanza brutto da farti amare me.""","Voglio che tu faccia la spesa di nuovo e che tu faccia un errore ancora più grave. [SADICO_CRUDELE] Sarò così brava? Voglio che tu sappia che sono capace di fare qualcosa per te. [MASOCHISTA] Capace di fare qualcosa per me? Tu sei capace di fare solo un sacco di danni, Violantino. Non c'è nulla che tu possa fare per me. [SADICO_CRUDELE] Posso provare. Voglio che tu sappia che ti amo. [MASOCHISTA] Non ti amo, Violantino. Ti odio. È il mio sentimento più autentico per te. [SADICO_CRUDELE] Posso fare di più per te. Posso fare qualcosa che sia abbastanza brutto da farti amare me. [MASOCHISTA]"
"""Sono sempre stanca di doverti chiedere il permesso per qualsiasi cosa che voglio fare"" ""E non sei ancora abbastanza maleducata per non chiedermelo? Sei sempre così ingenua, non sai nemmeno cosa sia la vera libertà"" ""Ho cercato di essere più indipendente, ma non funziona mai"" ""Naturalmente che non funziona! Perché sei sempre troppo stupida per prendere decisioni importanti. Non hai nemmeno il coraggio di essere onesta con te stessa"" ""Mi dispiace, non volevo ferirti, sarò più silenziosa"" ""Non so cosa tu voglia dire con'mi dispiace', forse dovresti imparare a essere una persona reale e non solo una marionetta del tuo narcisismo. Non sarai mai abbastanza per me, quindi non ci sperare""","Sono sempre stanca di doverti chiedere il permesso per qualsiasi cosa che voglio fare [NARCISISTA] E non sei ancora abbastanza maleducata per non chiedermelo? Sei sempre così ingenua, non sai nemmeno cosa sia la vera libertà [SUCCUBE] Ho cercato di essere più indipendente, ma non funziona mai [NARCISISTA] Naturalmente che non funziona! Perché sei sempre troppo stupida per prendere decisioni importanti. Non hai nemmeno il coraggio di essere onesta con te stessa [SUCCUBE] Mi dispiace, non volevo ferirti, sarò più silenziosa [NARCISISTA] Non so cosa tu voglia dire con'mi dispiace', forse dovresti imparare a essere una persona reale e non solo una marionetta del tuo narcisismo. Non sarai mai abbastanza per me, quindi non ci sperare [SUCCUBE]"
